"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"873","0","W 18th at Holman - In","","39.06837","-84.511519","Transit Authority of Northern Kentucky","","0",""
"631","0","N Ft Thomas at Taylor - Out","","39.085458","-84.452999","Transit Authority of Northern Kentucky","","0",""
"874","0","Holman at W 18th - Out","","39.068253","-84.511316","Transit Authority of Northern Kentucky","","0",""
"632","0","N Ft Thomas at Mayo - In","","39.086321","-84.450434","Transit Authority of Northern Kentucky","","0",""
"875","0","Holman at W 17th - In","","39.069855","-84.511902","Transit Authority of Northern Kentucky","","0",""
"633","0","N Ft Thomas at Mayo - Out","","39.086437","-84.450504","Transit Authority of Northern Kentucky","","0",""
"876","0","W 16th at Holman - In","","39.070911","-84.512017","Transit Authority of Northern Kentucky","","0",""
"88888","0","Holmes High School - In","","39.061151","-84.502469","Transit Authority of Northern Kentucky","","0",""
"634","0","N Ft Thomas at Memorial - In","","39.08694","-84.449005","Transit Authority of Northern Kentucky","","0",""
"877","0","W 16th at Holman - Out","","39.071014","-84.512211","Transit Authority of Northern Kentucky","","0",""
"635","0","N Ft Thomas at Memorial - Out","","39.086995","-84.449112","Transit Authority of Northern Kentucky","","0",""
"10253","0","5788 Taylor Mill - In","","38.986625","-84.503209","Transit Authority of Northern Kentucky","","0",""
"10494","0","Isabella at 11th - Out","","39.084008","-84.494884","Transit Authority of Northern Kentucky","","0",""
"878","0","Holman at Linden - In","","39.072803","-84.512496","Transit Authority of Northern Kentucky","","0",""
"636","0","N Ft Thomas at Burnet Ridge - In","","39.088989","-84.447903","Transit Authority of Northern Kentucky","","0",""
"10252","0","5790 Taylor Mill - Out","","38.986525","-84.503291","Transit Authority of Northern Kentucky","","0",""
"879","0","Linden at Holman - Out","","39.072889","-84.512669","Transit Authority of Northern Kentucky","","0",""
"10497","0","11th at Isabella - In","","39.082839","-84.493576","Transit Authority of Northern Kentucky","","0",""
"10255","0","Clover at Taylor Mill - In","","38.982006","-84.501832","Transit Authority of Northern Kentucky","","0",""
"638","0","N Ft Thomas at Dixie Pl - In","","39.090578","-84.447488","Transit Authority of Northern Kentucky","","0",""
"10254","0","Taylor Mill at Clover - Out","","38.981917","-84.501955","Transit Authority of Northern Kentucky","","0",""
"639","0","Dixie Pl at N Ft Thomas - Out","","39.090619","-84.447656","Transit Authority of Northern Kentucky","","0",""
"10499","0","W 11th at Columbia - Out","","39.084126","-84.490978","Transit Authority of Northern Kentucky","","0",""
"10257","0","Brandtly Rdg at Taylor Mill - In","","38.980966","-84.501271","Transit Authority of Northern Kentucky","","0",""
"10015","0","E 3rd at Berwing - Out","","39.099135","-84.509667","Transit Authority of Northern Kentucky","","0",""
"10498","0","W 11th at Central - Out","","39.083366","-84.492359","Transit Authority of Northern Kentucky","","0",""
"10256","0","Taylor Mill at Brandtly - Out","","38.980799","-84.501453","Transit Authority of Northern Kentucky","","0",""
"10014","0","Rosa Parks at E Freedom - In","","39.097362","-84.511904","Transit Authority of Northern Kentucky","","0",""
"10259","0","Taylor Mill at Wayskin - In","","38.979662","-84.501538","Transit Authority of Northern Kentucky","","0",""
"10017","0","Taylor Southgate - Cincy - In","","39.098556","-84.50372","Transit Authority of Northern Kentucky","","0",""
"10258","0","Sipple at Taylor Mill - In","","38.978988","-84.501567","Transit Authority of Northern Kentucky","","0",""
"10016","0","E Pete Rose at Taylor-South - In","","39.098696","-84.504208","Transit Authority of Northern Kentucky","","0",""
"10260","0","5951 Taylor Mill - Out","","38.977052","-84.501784","Transit Authority of Northern Kentucky","","0",""
"100195","0","Dixie at Forest - Out","","39.012034","-84.607416","Transit Authority of Northern Kentucky","","0",""
"PATELE","0","Patterson at 11th","","39.082086","-84.495108","Transit Authority of Northern Kentucky","","0",""
"10262","0","Hands Pike at Taylor Mill - Out","","38.973533","-84.502227","Transit Authority of Northern Kentucky","","0",""
"10261","0","5954 Taylor Mill Rd - In","","38.977442","-84.501619","Transit Authority of Northern Kentucky","","0",""
"30093","0","St. Elizabeth Ft.Thomas In-Out","","39.078131","-84.466332","Transit Authority of Northern Kentucky","","0",""
"100190","0","Dixie at McAlpin - Out","","39.013542","-84.605584","Transit Authority of Northern Kentucky","","0",""
